,Mx,My,Mz,Fx,Fy,Fz,EQV1
35,3152.938087,7173.194217,-6981.836579,686.7664775,459.0452148,-976.8376552,81.8
36,3435.916686,-3259.236395,-7825.245906,-115.8007361,266.7432422,-1081.456561,57.5
37,2972.967772,4514.790191,-5053.923448,810.5298713,122.7097147,,38.9
38,5439.214279,5935.117267,5753.964102,397.5169575,226.0196957,,61.4
39,4004.761983,-7542.340847,3198.393262,219.3325074,-493.6955283,,217.2
40,4983.923059,2940.756217,7101.051269,-402.4064835,-100.3931177,-1535.02308,154.2
41,4418.411018,-1796.436045,2712.618115,92.62270211,-240.5337036,-1058.727678,153.6
42,5497.576947,-5468.924762,7951.062046,-340.6129287,33.02518632,-1360.457577,258.2
43,5253.111908,-2329.732667,-3845.517236,-43.35291797,310.041419,-1497.258502,114.8
44,4388.493582,155.1643304,4966.205004,594.2208537,-29.3716662,-827.6875714,123.9
45,3784.521163,7868.274031,2382.06279,174.7217848,172.5611575,-1170.160391,4.1
46,3083.731344,8557.292189,652.9004905,483.9134933,-442.2100032,,12.1
47,5799.856773,686.5902997,-1305.810645,622.9962154,317.9169229,-1471.543297,100.1
48,3961.735095,-7073.090498,1293.079119,-300.587895,499.4888674,-1562.344263,197.3
49,3687.030575,1353.208369,-7206.199398,747.3122383,-377.5258813,,34.0
50,4270.360675,-2689.006504,20.10542178,878.5927028,-198.1723064,,139.3
51,3497.906727,-341.2693791,1425.094828,260.4249368,496.1289767,-1573.28455,115.0
52,4871.214977,1980.967313,-4149.533468,525.0611561,144.4995532,,48.9
53,3568.809703,-3782.336752,4288.82207,25.34275616,386.9759784,,156.2
54,4649.561753,-4425.918115,-3139.615797,-207.9472428,-315.8144645,-706.0421098,124.0
55,5100.90333,7509.356649,-6387.641068,350.6180645,-552.0429154,-1439.538703,30.2
56,5314.495974,-6503.957032,-2530.645847,131.5731528,-196.5516719,-813.9991962,161.5
57,2744.080526,-5122.006575,-2005.842329,-226.8588712,-281.6769679,,153.5
58,4173.283611,6205.240213,-8885.075588,9.546130986,388.8056179,-1146.105494,65.8
59,2682.491213,5515.899905,6547.684842,-428.1699476,-464.6780107,,63.3
60,274.9394861,-6266.883654,-8787.612358,-407.5984734,474.2122769,,59.2
61,-711.0456444,-6635.008314,2200.876215,736.1991999,66.80034739,-867.7316804,129.4
62,1400.561828,-9621.622919,-4822.076393,870.4746319,230.2777879,-932.4160834,126.6
63,2312.392117,-8947.628094,3787.994085,555.6221119,-511.2553088,,227.1
64,3021.749263,-6818.684355,-6951.731825,771.003331,126.0277204,-1135.094202,107.6
65,-1338.906831,-5437.679166,5149.591484,404.6636754,-334.8557142,-1568.730331,179.6
66,-914.9783994,-7868.065725,-2430.118772,-375.2876097,-1.281828494,-1517.86412,134.4
67,3838.663957,-5923.090081,-6414.214777,-172.9480886,427.813098,-1435.670402,114.2
68,-1113.658336,-5864.511954,7504.025417,608.8647866,-46.95949754,,161.4
69,-245.1987197,-10691.95578,-3133.795899,71.33174184,261.5027335,,135.7
70,340.9130823,-6394.98965,7998.783989,139.0732178,-541.9947171,-1354.83392,234.0
71,1169.126569,-5269.308362,5742.006326,-89.7947397,-277.7993891,-726.9923171,175.9
72,2038.639967,-11255.99484,-5034.671984,326.0733458,-96.84216065,,169.2
73,-1924.31623,-7414.577977,312.0727367,-437.2876185,-229.7361156,,116.3
74,1806.209767,-5233.226389,-826.2305316,726.0264766,27.63295083,,137.5
75,659.3570124,-8631.139856,-9129.969278,-14.63635303,110.0690595,,91.9
76,3243.658343,-10249.97718,6514.859174,351.3011627,417.5156201,-705.9567139,236.2
77,-66.76885961,-8541.306538,-982.7950229,115.5671127,-352.2255234,-1398.154166,172.1
78,-1789.984181,-9500.154321,3254.055969,921.1854075,500.3169838,-1456.08962,168.3
79,-1523.016252,-7660.356182,8416.00124,536.5378056,-435.5676332,,206.4
